"Title","Original Title","Author Names","Source","Abstract","Original Abstract","Open URL Link"
"Characteristics of lung cancer after a previous malignancy",,"Reinmuth N., Stumpf P., Stumpf A., Muley T., Kobinger S., Hoffmann H., Herth F.J.F., Schnabel P.A., Bischoff H., Thomas M.","Respiratory Medicine (2014) 108:6 (910-917). Date of Publication: June 2014","Background In the era of improving overall survival rates of malignant diseases, the impact of a previous malignancy (PM) on treatment and outcome of lung cancer (LC) remains unclear. Methods We reviewed all LC patients from our institution that were treated from 2004 to 2006 for the occurrence of LC with PM excluding patients with multiple primary LC. Results A total of 444 and 2698 LC patients with and without a history of a PM were identified (prevalence of 14.1%). PM were most often located in breast (15.5%), prostate (14.9%), bladder (9.0%) and kidney (8.8%). Compared to never smokers, patients with nicotine consumption had more often a cancer history of prostate, gastrointestinal, and the head-neck region. The median interval until diagnosis of LC was 72.2 months (range 0-537 months) with most LC diagnosed 5 years after PM diagnosis. With a similar distribution of histology, stage and localization compared to controls, NSCLC patients with PM and stage IV disease showed a favorable overall survival (p < 0.0001). In contrast, SCLC patients had similar survival curves (n.s.). Conclusions A considerable subgroup of LC patients has a history of PM that may indicate a favorable prognostic factor. However, these patients should be treated similar to other LC patients. © 2014 Elsevier Ltd. All rights reserved.",,
"Tobacco smoking",,,"IARC Monographs on the Evaluation of Carcinogenic Risks to Humans (2012) 100 E (43-214). Date of Publication: 2012",,,
"Epidemiology and clinical outcome of HPV in different head and neck cancer a subgroup analysis",,"Boelke E., Gössler B., Tamaskovic B., Budach W., Matuschek C.","Radiotherapy and Oncology (2017) 123 Supplement 1 (S584-S585). Date of Publication: 1 May 2017","Purpose or Objective Human papillomavirus (HPV)-associated squamous cell carcinoma of the oropharynx is a well-defined disease typically affecting young to middle-aged male nonsmokers. The incidence of HPV-associated oropharyngeal cancers is rapidly increasing in most Western countries, but detailed epidemiological data are not available for the Dusseldorf population. Moreover, among other head and neck regions, a less significant proportion of oral highgrade dysplasia and cancers appears to depend on HPV infection, whereas its role in laryngeal cancer is recognized as less significant. The aim of this study was to find out the incidence and clinical outcome of HPV infection in different head neck cancer patients in a German population. Material and Methods In this retrospective study, the tumour tissue from 164 patients (110 men, 54 women, 62.8 years + 12.7) with head neck cancer (oropharynx = 65 nasopharynx = 10, larynx = 13, hypopharynx = 15, oral cavity = 33 CUP = 5, Other = 23) were tested for HPV infection. Furthermore, the clinical outcome for all tumor sides was examined with uni and multivariate analysis. We analyzed p16 in all tumor tissues as a surrogate marker for HPV infection with immunohistochemistry. Moreover, risk factors such as nicotine, alcohol abuse, location of the tumour, resection margin of the tumour tissue, histology, lymph nodes involvement, extracapsular spread, tumour stage, and the treatment of the tumour (surgery, chemo and radiation therapy) were examined for local tumour control and overall survival for all patients. Results The prevalence of HPV infection in oropharynx-carcinoma patients in Dusseldorf was 33%. Patients with HPV-positive oropharyngeal carcinomas showed a tendency towards longer survival time, (p = 0.76, HR: 2.42, 95% CI 0.91 - 6.44) compared to HPV-negative tumours. This association was independent from alcohol and nicotine abuse. Other tumour locations like larynx or hypopharynx carcinoma showed no association between HPV infection and clinical outcome. As expected the tumour stage in all tumour locations was significant in the uni and multivariate analysis for local control and overall survival. Conclusion The HPV infection in Dusseldorf was lower than anticipated. Furthermore, in our study it seems that p 16 positive oropharyngeal carcinoma patients have a better clinical outcome than p 16 negative patients. In this patient group p 16 can be used as a prognostic biomarker. This was independent from alcohol and nicotine abuse. But for other tumor localizations we could not find a better clinical outcome.",,
"Longitudinal self-reported and serum-based assessment of tobacco or nicotine use in head and neck cancer patients during definitive radiotherapy or chemoradiotherapy",,"Kudrimoti M.R., Arnold S.M., Valentino J., Randall M., Warren G.W.","Journal of Clinical Oncology (2010) 28:15 SUPPL. 1. Date of Publication: 20 May 2010","Background: Tobacco use during cancer treatment is associated with a poor prognosis, but tobacco or nicotine use (TNU) assessment in cancer treatment patients is poorly characterized. Methods: Patients with measurable squamous cell carcinoma of the head and neck (HNSCC) treated with definitive radiotherapy (RT) or chemoradiotherapy (CRT) were eligible for enrollment. Entry and weekly self-reported TNU was measured in combination with objective serum cotinine (SC, an established quantitative measure of TNU). Results: At interim analysis, 50 patients are enrolled and SC assessments are complete for 37 patients. Of 37 patients, 81% are male (median age at diagnosis 53, range 39-75), 68% have oropharyngeal tumors, 84% are node positive, 81% presented at stage III-IVB, and 89% were treated with CRT. Any tobacco use was reported in 78% (median pack-year history of 32.5, range 3-138). Successful tobacco cessation was reported in 54% with 1-3 years median duration (range 2 wks to 40 yrs). At diagnosis, 30% of patients reported TNU; however, 41% of patients were SC positive at some time throughout RT or CRT. Of 30% of patients reporting second-hand smoke (SHS) exposure, 45% denied TNU at study entry. Of 19% of patients reporting social help with cessation, 71% reported that a friend or family helped and only 29% reported that doctors helped. SC values varied widely in individual patients over the course of RT or CRT. Of 41% of SC positive patients, 93% were SC positive at study entry, 73% at mid-treatment (week 4), and 53% during the final week of treatment. Conclusions: Data demonstrate that most HNSCC patients presenting with TNU at the beginning of RT or CRT continue TNU throughout treatment. Multiple TNU and SHS assessments are necessary to accurately characterize TNU during cancer treatment and the effects on clinical outcome.",,
"Non-communicable disease epidemic: epidemiology in action (EuroEpi 2013 and NordicEpi 2013): Aarhus, Denmark from 11 August to 14 August 2013",,"Tsukinoki R., Murakami Y.","European Journal of Epidemiology (2013) 28:1 (1-270). Date of Publication: 2013",,,
"CGP1 mediated inflammasome activation and metastasis in OSCC",,"Wu C.-S., Chang Y.-S.","Anticancer Research (2014) 34:10 (6246). Date of Publication: October 2014","Worldwide, oral cancer is one of a prevalent malignant neoplasm leading to death, yet its molecular pathogenesis is unclear. Inflammasome activity has been reported that is involved in tumorigenesis in many kinds of human cancers. CGP1 is a key adaptor protein mediating the activation of inflammasome. In this study, we identified that the inflammasome activity was elevated in oral squamous cell carcinoma (OSCC) cell lines by DNA, RNA and bacteria stimulation but not by known risk factors of OSCC progression, such as nicotine and arecoline. In previous studies it was shown that CGP1 has a tumor suppressor function in a variety of human cancers. However, in our study, we found that the CGP1mRNA and protein level of CGP1 were both up-regulated in the tumor region but not in adjacent healthy regions of OSCC patients. According to IHC scoring result, we analyzed the relationship between highly expressed CGP1 and clinicopathological characteristic of OSCC. Over-expressed CGP1 was correlated with tumor stage (p=0.001), node stage (p<0.001), overall stage (p<0.001) and extracapsular spread (p<0.001) in OSCC patients. We further analyzed the clinical outcome of over-expressed CGP1. The results indicated that CGP1 was a risk factor for poor prognosis. In an in vitro study, the migration and invasion ability were both increased in over-expressed CGP1 cell lines. In an in vivo study, cells over-expressing CGP1 were injected into mouse tongue resulting in lymph node metastasis around the cervical region. The survival rate was lower in mouse injected with CGP1 expressing cells than in vector control cells. In conclusion, we demonstrated that CGP1 mediated inflammasome activation and played an oncogenetic role in OSCC.",,
"Smoking and gut",,"Massarrat S.","Archives of Iranian Medicine (2008) 11:3 (293-305). Date of Publication: May 2008","Smoking has not only enormous deleterious effects on cardiovascular, cerebral, and bronchial organs but also profoundly alters the function of all parts of the gastrointestinal tract through various mechanisms. Except the sole curiously observed benefit of smoking on the course of ulcerative colitis, it increases the prevalence of the common gastrointestinal diseases namely gastroesophageal acid reflux, peptic ulcer, and Crohn's diseases. It also increases the incidence of cancer of oral cavity, esophagus, stomach, pancreas, and liver mostly in a dose-response relationship and worsens the prognosis of colon cancer. The cessation of smoking is associated with the reduced incidence of cancer in the reported organs, but its effect on the regression of benign disease is not generally studied. The physicians must be aware not only of the harmful effect of smoking on the cardiovascular and bronchial systems, but also about the detrimental consequences of life-long smoking on the gastrointestinal tract anal the increase of its benign and malignant diseases.",,
"Carcinoma of the lip","Lippenkarzinom","Bootz F., Howaldt H.P., Wendt T.","Onkologe (2002) 8:SUPPL. 1 (S35-S37). Date of Publication: 2002",,,
"Epithelial cell nicotinic acetylcholine receptor expression in head and neck squamous cell carcinoma pathogenesis",,"Carracedo D.G., Rodrigo J.P., Nieto C.S., Gonzalez M.V.","Anticancer Research (2007) 27:2 (835-839). Date of Publication: March/April 2007","Background: Molecular events following nicotinic acetylcholine receptor (nAChR) activation by nicotine are poorly understood. The phosphatidylinositol 3-kinase (PI3-K)/Akt/PTEN pathway has been suggested to play a role in the antiapoptotic responses to nicotine. Materials and Methods: To elucidate the possible role of α3, α5 and α7 nAChR subunit mediated PI3-K/Akt/PTEN pathway activation in squamous cell carcinoma of the head and neck (HNSCC) development, mRNA was isolated from 30 HNSCC tissues of known Akt activation state and were analyzed by reverse transcription polymerase chain reaction (RT-PCR). Results: α3, α5 and α7 nAChR subunits were expressed in 1/30 (3.33%), 15/30 (50%) and 10/30 (33.33%), respectively. These results did not correlate with pAkt levels, previously assessed in our laboratory, or any of the clinicopathological parameters considered. Conclusion: This is the first report on nAChR subunit expression in human HNSCC surgical specimens of known pAkt levels. Our results suggest that nAChRs might exert their function through pathways different from PI3-K/Akt/PTEN and that α3, α5 or α7 nAChR subunit expression might not be useful prognostic markers in HNSCC.",,
"β-Arrestin-1 expression and epithelial-to-mesenchymal transition in laryngeal carcinoma",,"Marioni G., Nicolè L., Cappellesso R., Marchese-Ragona R., Fasanaro E., Di Carlo R., La Torre F.B., Nardello E., Sanavia T., Ottaviano G., Fassina A.","International Journal of Biological Markers (2019) 34:1 (33-40). Date of Publication: 2019","Aim: The novel primary end-point of the present study was to ascertain β-arrestin-1 expression in a cohort of consecutive patients with laryngeal squamous cell carcinoma (LSCC) with information available on their cigarette-smoking habits. A secondary end-point was to conduct a preliminary clinical and pathological investigation into the possible role of β-arrestin-1 in the epithelial-to-mesenchymal transition (EMT), identified by testing for E-cadherin, Zeb1, and Zeb2 expression, in the setting of LSCC. Methods: The expression of β-arrestin-1, E-cadherin, zeb1, and zeb2 was ascertained in 20 consecutive LSCCs. Results: Statistical analysis showed no significant associations between β-arrestin-1 and EMT (based on the expression of E-cadherin, Zeb1, and Zeb2). The combined effect of nicotine and β-arrestin-1 was significantly associated with a shorter disease-free survival (P=0.01) in our series of LSCC. This latter result was also confirmed in an independent, publicly available LSCC cohort (P=0.047). Conclusions: Further investigations on larger series (ideally in prospective settings) are needed before we can consider closer follow-up protocols and/or more aggressive treatments for patients with LSCC and a combination of nicotine exposure and β-arrestin-1 positivity in tumor cells at the time of their diagnosis. Further studies on how β-arrestin functions in cancer via different signaling pathways might reveal potential targets for the treatment of even advanced laryngeal malignancies.",,
"Nicotine promotes lymph node metastasis and cetuximab resistance in head and neck squamous cell carcinoma",,"Shimizu R., Ibaragi S., Eguchi T., Kuwajima D., Kodama S., Nishioka T., Okui T., Obata K., Takabatake K., Kawai H., Ono K., Okamoto K., Nagatsuka H., Sasaki A.","International Journal of Oncology (2019) 54:1 (283-294). Date of Publication: 1 Jan 2019","Epidermal growth factor (EGF) is overexpressed in many cancers and is associated with worse prognosis. EGF binds to its cell surface receptor (EGFR), which induces EGFR phosphorylation. Phosphorylated EGFR (p-EGFR) is translocated into the nucleus, which increases cancer cell activity. Nicotine, which is one of the main components of tobacco, is absorbed through pulmonary alveoli and mucosal epithelia in the head and neck region by smoking and moves into the blood. Nicotine in blood binds to nicotinic acetylcholine receptor (nAChR) in the central nervous system and serves a crucial role in tobacco addiction. Although nAChR localization is thought to be limited in the nervous system, nAChR is present in a wide variety of non-neuronal cells, including cancer cells. Recent studies suggest that nicotine contributes to the metastasis and resistance to anti-cancer drugs of various cancer cells. However, it remains unknown whether head and neck squamous cell carcinoma (HNSCC) cells can utilize nicotine-nAChR signaling to metastasize and acquire resistance to anti-cancer drugs, even though the mucosal epithelia of the head and neck region are the primary sites of exposure to tobacco smoke. To the best of our knowledge, the present study is the first to demonstrate the role of nicotine in metastasis and anti-EGFR-therapy resistance of HNSCC. The present findings demonstrated that nicotine increased proliferation, migration, invasion, p-EGFR nuclear translocation and protein kinase B (Akt) phosphorylation in HNSCC cells. It was also demonstrated that nicotine restored cetuximab-inhibited proliferation, migration and invasion of HNSCC cells. Finally, an in vivo experiment revealed that nicotine increased lymph node metastasis of xenografted tumors, whereas an nAChR inhibitor suppressed lymph node metastasis and p-EGFR nuclear localization of xenografted tumors. Taken together, these results demonstrated that nicotine induced nuclear accumulation of p-EGFR, and activation of Akt signaling. These signaling pathways elevated the activities of HNSCC cells, causing lymph node metastasis and serving a role in cetuximab resistance.",,
"Smoking and oral cancer. Evaluation and treatment. Case report","Fumo e cancro orale. Valutazioni e trattamento. Caso clinico","Mallardo A., Ferrigno M., Battista F.","IJCI - International Journal of Clinical Investigation (2006) 14:3-4 (83-90). Date of Publication: July/December 2006","The aim of this paper is to show, through epidemiologic assessment indexes, the important role smoke plays as a risk factor for the oral cavity and that by mini-invasive surgical techniques it is today possible to remove tumor lesions without reducing surrounding tissues too much.",,
"Association between smoking during radiotherapy and prognosis in head and neck cancer: A follow-up study",,"Browman G.P., Mohide E.A., Willan A., Hodson I., Wong G., Grimard L., MacKenzie R.G., El-Sayed S., Dunn E., Farrell S.","Head and Neck (2002) 24:12 (1031-1037). Date of Publication: December 2002","Background. The study objective was to confirm a previous finding that patients with stage III/IV squamous head and neck cancer (SHNC) who smoke during radiotherapy (RT) experience reduced survival. Methods. An observational cohort study. Patients' smoking status was assessed weekly by questionnaire plus blood cotinine. Patients were assessed every 3 to 4 months for survival. Logistic regression and Cox proportional hazards analyses were used to detect the independent contribution of smoking on survival. Results. Of 148 patients, 113 smoked during RT. Blood cotinine and smoking questionnaire responses were highly correlated (Spearman R = .69; p < .0005). Abstainers and very light smokers experienced better survival than light, moderate, and heavy smokers (median, 42 vs 29 months; p = .07). Tumor and nodal status and years smoked were the most important prognostic factors. Smoking during RT was not an independent predictor of survival, but baseline smoking status was (p = .016). Conclusion. Smoking status should be documented in all future trials of RT in SHNC to allow for pooled analyses with sufficient power to address this question. © 2002 Wiley Periodicals, Inc.",,
"Effects of tobacco smoking and nicotine on cancer treatment",,"Petros W.P., Younis I.R., Ford J.N., Weed S.A.","Pharmacotherapy (2012) 32:10 (920-931). Date of Publication: October 2012","A substantial number of the world's population continues to smoke tobacco, even in the setting of a cancer diagnosis. Studies have shown that patients with cancer who have a history of smoking have a worse prognosis than nonsmokers. Modulation of several physiologic processes involved in drug disposition has been associated with long-term exposure to tobacco smoke. The most common of these processes can be categorized into the effects of smoking on cytochrome P450-mediated metabolism, glucuronidation, and protein binding. Perturbation in the pharmacokinetics of anticancer drugs could result in clinically significant consequences, as these drugs are among the most toxic, but potentially beneficial, pharmaceuticals prescribed. Unfortunately, the effect of tobacco smoking on drug disposition has been explored for only a few marketed anticancer drugs; thus, little prescribing information is available to guide clinicians on the vast majority of these agents. The carcinogenic properties of several compounds found in tobacco smoke have been well studied; however, relatively little attention has been given to the effects of nicotine itself on cancer growth. Data that identify nicotine's effect on cancer cell apoptosis, tumor angiogenesis, invasion, and metastasis are emerging. The implications of these data are still unclear but may lead to important questions regarding approaches to smoking cessation in patients with cancer.",,
"Nicotine abstinence of cancer patients before, during andafter treatment",,"Laack E.","Onkologie (2011) 34 SUPPL. 6 (100-101). Date of Publication: September 2011","Tobacco use accounts for at least 25% of all cancer deaths including carcinomaof the lung, lip, oral cavity, pharynx, larynx, esophagus, pancreas, uterine cervix, kidney, bladder and stomach.Smoking cessation is an important opportunity to enhance effectiveness ofcancer treatment, like surgery, radiotherapy, and systemic therapy. It is importantnot only for cancer patients but also for all patients who need surgicaltherapy. Smokers have an increased mortality risk, more pulmonary and respiratorycomplications attributable to limited lung function, wound infectionsand delayed surgical wound healing. For example, in colorectal surgery, smokingpatients have a major possibility for anastomic leakage compared to nonsmokers.In breast reconstruction smoking impairs the free TRAM flapmicrocirculation. In Liver transplant, smoking is associated with more cardiovascular-related and sepsis-specific mortality and vascular complications andhigher incidence of ascites and encephalopathy. Smoking cessation shortlybefore thoracic surgery is associated with improved long-term survival.Tobacco smoking during radiotherapy in patients with head and neck cancer isassociated with unfavourable outcome. Current smoker with lung cancer duringradiotherapy have a 20% greater probability of radiation pneumonitis.During chemotherapy, smoking exacerbates oral mucosites, loss of tase, xerostomia, weight loss and fatigue.Tobacco smoking after cancer diagnosis has also a negative impact on prognosis(e.g. small cell lung cancer, renal clear cell carcinoma, Non-Hodgkin'slymphoma, breats cancer) as well as on quality of life.Therefore, physicians should motivate and help their cancer patients to quitsmoking as soon as possible before cancer treatment. Non-smoking is not onlycool, it also enhance effectiveness of cancer treatment and had a positiveimpact on survival.Every comprehensive cancer center should offer cancer patients and also thecommunity as a whole a service of smoking cessation and also promotetobacco control in adolescents and adults. (Table presented).",,
